,Treatment,imagingType,imageFileName,zone,CV,Iso,Contrast,Correlation,Energy,Homogeneity,Entropy,Std,Mean,Range
180,SS,E-cad,40X E-cad SS - 02.tif,zone 4,NA,NA,0.41576451382512,0.791985286333784,0.188738258448762,0.816769364010475,4.63913198310421,0.119353795755758,0.243948919784521,0.969854941335624
181,SS,E-cad,40X E-cad SS - 03.tif,zone 1,NA,NA,0.354825262728293,0.813901183091854,0.243345173083246,0.841322419991157,4.76907770578023,0.119764359010765,0.222669698274393,0.969368729974045
182,SS,E-cad,40X E-cad SS - 03.tif,zone 2,NA,NA,0.380736669727579,0.804987079579966,0.223141673476314,0.83227876815291,4.67235717138322,0.123162528004715,0.223541153144519,0.970416524685871
183,SS,E-cad,40X E-cad SS - 03.tif,zone 3,NA,NA,0.403643628201204,0.770607000827644,0.205710232398467,0.820909572322552,4.72200188459971,0.116790931278874,0.263227418949922,0.94769837598983
184,SS,E-cad,40X E-cad SS - 03.tif,zone 4,NA,NA,0.360570237730844,0.775805077935106,0.247599029894263,0.837690020576132,4.77787984661911,0.110284555910833,0.234714281947946,0.96466205200013
185,SS,F-actin,40X F-actin SS - 01.tif,zone 1,0.186658072247534,4.52,0.248053412917049,0.905335100910758,0.243608557579648,0.891363427201306,5.76592823984612,0.140698104986834,0.205640278291218,0.977639368571046
186,SS,F-actin,40X F-actin SS - 01.tif,zone 2,0.174933736649164,4.24,0.249195551474339,0.91017631837591,0.289052386521681,0.896061043941094,5.77311051783722,0.146839694481252,0.193002584800113,0.981172652538115
187,SS,F-actin,40X F-actin SS - 01.tif,zone 3,0.226187691942067,5.92,0.239746097337006,0.896290692284609,0.273440505784789,0.895099118117199,5.63098134487336,0.130279840601271,0.194253950594166,0.977966898504607
188,SS,F-actin,40X F-actin SS - 01.tif,zone 4,0.203391255521277,5.52,0.258947658402204,0.899115627287851,0.242986818862848,0.887362898513757,5.7595998560289,0.139560249517669,0.204634411715745,0.979701289518783
189,SS,F-actin,40X F-actin SS - 02.tif,zone 1,0.187858347406827,3.56,0.218043801652893,0.906276181496295,0.3544859503596,0.910349655987484,5.2986771746994,0.133224855528869,0.156604997364455,0.984257557700393
190,SS,F-actin,40X F-actin SS - 02.tif,zone 2,0.169656616272713,2.96,0.240672329354147,0.911260218634448,0.298006376402068,0.90053782131075,5.57265410033906,0.142156022099345,0.183086412453809,0.981178947300488
191,SS,F-actin,40X F-actin SS - 02.tif,zone 3,0.182284720729131,3.96,0.231065268850117,0.906788140123473,0.314900489239144,0.903770338910995,5.48321328752914,0.136594985500914,0.168853080981706,0.978868455346313
192,SS,F-actin,40X F-actin SS - 02.tif,zone 4,0.232411220097753,4.28,0.218468166513621,0.909655854148842,0.32207501483049,0.907173772914328,5.35471850511223,0.135464024148443,0.168925575364101,0.986118488092692
193,SS,F-actin,40X F-actin SS - 03.tif,zone 1,0.195845926262998,4.64,0.226830568309356,0.902935944845166,0.342918817844965,0.90883349114036,5.41372144998298,0.134646748532459,0.160230671430752,0.987489350395961
194,SS,F-actin,40X F-actin SS - 03.tif,zone 2,0.207641511836831,2.8,0.201369992857872,0.91608379684527,0.392487432797347,0.918660976771078,5.44671641364851,0.138728492942078,0.149513576474156,0.988659693422475
195,SS,F-actin,40X F-actin SS - 03.tif,zone 3,0.212316158412379,4.6,0.22912641567187,0.898707216473896,0.345573579062987,0.90536651551591,5.50263987142152,0.13263169888357,0.166212373071976,0.984163261794224
